Pollutant,Source,Value
CO,S/L/T,1749043.477
NH3,S/L/T,81858.57323
NOX,S/L/T,1998354.719
PM10,S/L/T,253797.8834
PM2.5,S/L/T,148685.5466
SO2,S/L/T,1331266.245
VOC,S/L/T,930726.2331
Lead,S/L/T,123.9216002
Mercury,S/L/T,18.11485829
Acid-Gases,S/L/T,25912.74654
HAP-Metal,S/L/T,964.8723885
HAP-VOC,S/L/T,147511.8581
CO,EPA TRI,0
NH3,EPA TRI,6004.072938
NOX,EPA TRI,0
PM10,EPA TRI,0
PM2.5,EPA TRI,0
SO2,EPA TRI,0
VOC,EPA TRI,0
Lead,EPA TRI,30.67400187
Mercury,EPA TRI,3.356066128
Acid-Gases,EPA TRI,2432.835751
HAP-Metal,EPA TRI,318.0783615
HAP-VOC,EPA TRI,26489.57942
CO,EPA HAP & PM Aug,0
NH3,EPA HAP & PM Aug,0
NOX,EPA HAP & PM Aug,0
PM10,EPA HAP & PM Aug,209631.9064
PM2.5,EPA HAP & PM Aug,175334.6134
SO2,EPA HAP & PM Aug,0
VOC,EPA HAP & PM Aug,0
Lead,EPA HAP & PM Aug,1.40099721
Mercury,EPA HAP & PM Aug,0.336804675
Acid-Gases,EPA HAP & PM Aug,119.0615668
HAP-Metal,EPA HAP & PM Aug,146.7043796
HAP-VOC,EPA HAP & PM Aug,8906.941287
CO,EPA EGU,3640.9009
NH3,EPA EGU,5776.3427
NOX,EPA EGU,11298.6
PM10,EPA EGU,2182.0174
PM2.5,EPA EGU,1467.7858
SO2,EPA EGU,3013.057
VOC,EPA EGU,258.4237
Lead,EPA EGU,0.0009711
Mercury,EPA EGU,0.500435
Acid-Gases,EPA EGU,37.71080345
HAP-Metal,EPA EGU,6.7150798
HAP-VOC,EPA EGU,1013.143469
CO,EPA Air/Rail,340694.7863
NH3,EPA Air/Rail,16.23187476
NOX,EPA Air/Rail,121730.7927
PM10,EPA Air/Rail,9664.176363
PM2.5,EPA Air/Rail,8643.251142
SO2,EPA Air/Rail,9099.896981
VOC,EPA Air/Rail,54235.7335
Lead,EPA Air/Rail,175.7194952
Mercury,EPA Air/Rail,0
Acid-Gases,EPA Air/Rail,0
HAP-Metal,EPA Air/Rail,175.7194952
HAP-VOC,EPA Air/Rail,10787.17593
CO,EPA Other,270.1044551
NH3,EPA Other,0
NOX,EPA Other,329.2
PM10,EPA Other,15.49
PM2.5,EPA Other,0
SO2,EPA Other,0.84
VOC,EPA Other,283.60154
Lead,EPA Other,0.00997021
Mercury,EPA Other,0.004363665
Acid-Gases,EPA Other,15.2888
HAP-Metal,EPA Other,2.22165167
HAP-VOC,EPA Other,703.5421257
